ANA|アナ|クラウン,ANAクラウンプラザホテル 札幌,札幌市中央区北３条西１丁目２−９,創成通沿い
コンフォート,コンフォートホテル札幌,札幌市中央区南５条西１丁目２−１０,北向一通西側
コンフォート|ERA,コンフォートホテルERA札幌北口,札幌市北区北７条西５丁目17番１,北8条通西門
ザ|ゲート|ヒューリック|HULIC,ザ・ゲートホテル札幌 by HULIC,札幌市中央区北3条西3丁目1-44,北4条通と駅前通の交差点角  ヒューリックスクエア札幌内
ザ|ロイヤルパーク|キャンバス,ザ ロイヤルパーク キャンバス 札幌大通公園,札幌市中央区大通西１丁目１２,南大通に面している
サッ|メッツ|MET,ホテル サッポロメッツ,札幌市北区北１７条西５丁目２−５０,北大通沿いローソン
さっぽろ|グラ,札幌ホテルbyグランベル,札幌市東区北６条東２丁目２−２,北７条通　南側　ｏｒ　南向き一通西側
サッポロ|ナダ|NADA,サッポロインNADA,札幌市中央区南５条西９丁目１０１６−１４,南6条通より1本北側仲通り
シアテル|Theatel,シアテル札幌,札幌市中央区南４条西５丁目８ F-45ビル 3階,Ｆ４５ビル
スーパー,スーパーホテル札幌 すすきの,札幌市中央区南６条西２丁目８−１,
スーパー,スーパーホテル北５条通り,札幌市中央区北４条西１２丁目１−４,北５条通り
スーパー|いしかり,スーパーホテル石狩,石狩市新港南２丁目７３１−２,
ストリーム|STREAM,札幌ストリームホテル,札幌市中央区南４条西４丁目1−１,COCONO SUSUKINO内
スマイル,スマイルホテルプレミアム札幌すすきの,札幌市中央区南４条西１丁目１３−１,36号線沿
スマイル,スマイルホテル札幌すすきの南,札幌市中央区南７条西１丁目１３－７,ローソンななめ向かい　旧レッドプラネット
そう|フレッサ,相鉄フレッサイン札幌すすきの,札幌市中央区南５条西２丁目６−１,南向一通西側
そうせい|Sosei,ホテル創成札幌Ｍギャラリー,札幌市中央区北2条東3丁目 サッポロファクトリー西館,２条と３条の間　旧クラビー札幌
ソラリア,ソラリア西鉄ホテル札幌,札幌市中央区北４条西５丁目１−２,北４条通北側
だいいち,北海道第一ホテルサッポロ,札幌市北区北２３条西４丁目２−６,２３と２４の間
ダイワ|ロイネット,ダイワロイネットホテル 札幌すすきの,札幌市中央区南４条西１丁目２−１,
ダイワ|ロイネット,ダイワロイネットホテル中島公園,札幌市中央区南９条西５丁目１−１,南９条通南側
だんせつ,暖雪（だんせつ）　札幌,札幌市中央区南6条東2丁目1-1,南５条と南６条の間　（旧東横イン札幌すすきの南）
ちょいね,ちょい寝ホテル札幌手稲,札幌市手稲区富丘３条７丁目１−５８,国道5号線沿い
ティアラ,ティアラホテル札幌すすきの,札幌市中央区南８条西３丁目７−１９,駅前通
ていね|ステーション,手稲ステーションホテル,札幌市手稲区手稲本町１条４丁目１−５,手稲駅南口
テトラ,ホテルテトラスピリット札幌,札幌市中央区南３条西９丁目４６,狸小路南側
